Invoice_ID,Date,Month,Year,Order_Channel,Product_Name,Product_Category,Unit_Price,Quantity_Sold,Total_Sales,Discount (%),Net_Revenue,Profit_Margin (%),Customer_ID,Customer_Type,Customer_Location,Stock_Availability,Delivery_Status,Delivery_Time (Days),Return_Status
9245f728,2024-08-28,8,2024,Distributor,Fevicol FastGrip,Quick Adhesive,136,24,3264,3.51,3149.4336,17.51,7dbdb5,Wholesaler,Delhi,Out of Stock,Pending,,Not Returned
9565258c,2023-07-23,7,2023,Online,Fevicol FastGrip,Quick Adhesive,70,33,2310,12.3,2025.87,22.01,a89b60,Direct Consumer,Kolkata,Available,Cancelled,,Not Returned
998e4a8d,2023-06-07,6,2023,Distributor,Fevicol Marine,Industrial Glue,426,11,4686,0.01,4685.5314,19.36,df9764,Industrial Buyer,Delhi,Available,Pending,,Not Returned
5019cd49,2023-07-06,7,2023,Distributor,Fevicol SH,Adhesive,138,21,2898,9.01,2636.8902,25.16,9135fa,Industrial Buyer,Bangalore,Out of Stock,Pending,,Not Returned
005767a0,2023-10-03,10,2023,Distributor,Fevicol SH,Adhesive,92,45,4140,9.34,3753.324,19.1,b7b37a,Direct Consumer,Hyderabad,Out of Stock,Delivered,8.0,Not Returned
07d90ea7,2024-01-18,1,2024,Retail Store,Fevicol FastGrip,Quick Adhesive,71,24,1704,10.62,1523.0352,23.23,a3bd78,Industrial Buyer,Chennai,Available,Pending,,Returned
8eaa6946,2024-09-07,9,2024,Retail Store,Fevicol FastGrip,Quick Adhesive,141,16,2256,7.46,2087.7024,12.17,868e94,Retailer,Ahmedabad,Available,Pending,,Returned
85d83c43,2023-10-26,10,2023,Online,Fevicol SH,Adhesive,154,40,6160,12.42,5394.928,25.02,16f2ed,Industrial Buyer,Chennai,Out of Stock,Pending,,Returned
15066bd0,2024-05-05,5,2024,Online,Fevicol SH,Adhesive,169,39,6591,0.89,6532.3401,24.8,247087,Wholesaler,Kolkata,Out of Stock,Cancelled,,Returned
7e98caa9,2023-11-07,11,2023,Online,Fevicol HeatX,Heat-Resistant,537,40,21480,4.14,20590.728,14.75,b31d22,Direct Consumer,Hyderabad,Out of Stock,Pending,,Returned
1e5cbbf1,2024-02-13,2,2024,Distributor,Fevicol HeatX,Heat-Resistant,512,48,24576,12.39,21531.0336,26.29,747cf5,Retailer,Bangalore,Out of Stock,Pending,,Not Returned
52faaff7,2024-05-30,5,2024,Online,Fevicol FastGrip,Quick Adhesive,116,18,2088,10.82,1862.0783999999999,28.67,a112d8,Retailer,Chennai,Available,Delivered,9.0,Not Returned
62bdb02b,2024-08-14,8,2024,Online,Fevicol FastGrip,Quick Adhesive,82,19,1558,6.28,1460.1576,11.22,7224b7,Industrial Buyer,Kolkata,Out of Stock,Cancelled,,Not Returned
7c2ae73b,2024-12-02,12,2024,Distributor,Fevicol MR,Adhesive,70,14,980,14.7,835.94,24.59,8d5f32,Direct Consumer,Chennai,Available,Delivered,4.0,Returned
d1033db9,2024-04-08,4,2024,Online,Fevicol FastGrip,Quick Adhesive,127,24,3048,0.3,3038.856,11.5,32dbb5,Retailer,Hyderabad,Available,Delivered,9.0,Returned
fd209792,2024-01-30,1,2024,Distributor,Fevicol FastGrip,Quick Adhesive,149,32,4768,13.6,4119.552,16.93,971c64,Industrial Buyer,Hyderabad,Available,Cancelled,,Not Returned
ddefdccb,2024-05-17,5,2024,Retail Store,Fevicol SH,Adhesive,167,2,334,6.71,311.5886,12.52,0d4a1d,Industrial Buyer,Kolkata,Available,Delivered,4.0,Not Returned
6c5d7342,2024-09-22,9,2024,Retail Store,Fevicol HeatX,Heat-Resistant,554,5,2770,7.9,2551.17,29.31,82de47,Industrial Buyer,Chennai,Out of Stock,Pending,,Returned
b9b1971b,2024-05-22,5,2024,Retail Store,Fevicol MR,Adhesive,79,50,3950,3.63,3806.615,15.71,73fa05,Retailer,Ahmedabad,Out of Stock,Cancelled,,Returned
ab6a16bf,2024-08-09,8,2024,Online,Fevicol Marine,Industrial Glue,407,28,11396,10.66,10181.1864,13.8,fd4a2d,Industrial Buyer,Ahmedabad,Available,Cancelled,,Not Returned
4308b809,2023-11-09,11,2023,Online,Fevicol Marine,Industrial Glue,140,44,6160,5.74,5806.416,28.73,e4bcf6,Retailer,Bangalore,Out of Stock,Delivered,7.0,Not Returned
0aea219a,2024-08-27,8,2024,Distributor,Fevicol SH,Adhesive,185,28,5180,5.77,4881.114,20.56,55ebe1,Retailer,Hyderabad,Out of Stock,Pending,,Not Returned
1fd860bb,2024-12-28,12,2024,Online,Fevicol HeatX,Heat-Resistant,527,45,23715,5.99,22294.4715,28.33,07f1d4,Retailer,Mumbai,Out of Stock,Delivered,7.0,Returned
a7ad689d,2024-02-15,2,2024,Online,Fevicol HeatX,Heat-Resistant,179,1,179,2.21,175.04410000000001,21.17,127cc6,Wholesaler,Ahmedabad,Out of Stock,Cancelled,,Not Returned
bf3c2a39,2024-02-21,2,2024,Retail Store,Fevicol FastGrip,Quick Adhesive,94,16,1504,9.01,1368.4895999999999,21.39,62d599,Wholesaler,Hyderabad,Available,Delivered,5.0,Not Returned
550623c4,2023-05-20,5,2023,Distributor,Fevicol FastGrip,Quick Adhesive,133,7,931,14.14,799.3566000000001,21.42,7569e6,Direct Consumer,Delhi,Available,Pending,,Returned
2eb4e57d,2024-03-28,3,2024,Retail Store,Fevicol Marine,Industrial Glue,136,49,6664,14.04,5728.3744,21.68,cd9818,Industrial Buyer,Delhi,Out of Stock,Pending,,Not Returned
58b5aead,2024-01-17,1,2024,Online,Fevicol HeatX,Heat-Resistant,438,25,10950,7.7,10106.85,28.65,0e8cc8,Industrial Buyer,Mumbai,Out of Stock,Delivered,9.0,Returned
ab5653c2,2024-10-19,10,2024,Online,Fevicol HeatX,Heat-Resistant,479,18,8622,14.04,7411.4712,19.64,1dad53,Direct Consumer,Bangalore,Out of Stock,Delivered,9.0,Not Returned
43fac666,2024-09-14,9,2024,Online,Fevicol Marine,Industrial Glue,346,36,12456,14.85,10606.284,29.7,3fc5b4,Industrial Buyer,Bangalore,Out of Stock,Cancelled,,Not Returned
3ac1cfeb,2024-10-05,10,2024,Distributor,Fevicol MR,Adhesive,65,22,1430,4.4,1367.08,23.03,5dc50a,Wholesaler,Ahmedabad,Available,Delivered,2.0,Not Returned
0dcc6e62,2023-05-01,5,2023,Online,Fevicol FastGrip,Quick Adhesive,98,6,588,4.7,560.364,25.06,dd4660,Wholesaler,Kolkata,Out of Stock,Cancelled,,Returned
8ceb1bf8,2023-04-06,4,2023,Online,Fevicol HeatX,Heat-Resistant,582,49,28518,12.25,25024.545,29.85,391d16,Industrial Buyer,Delhi,Available,Cancelled,,Not Returned
d86a53f8,2023-02-11,2,2023,Online,Fevicol FastGrip,Quick Adhesive,114,31,3534,4.56,3372.8496,25.84,b38532,Wholesaler,Kolkata,Out of Stock,Cancelled,,Returned
2412e5ee,2023-10-20,10,2023,Retail Store,Fevicol SH,Adhesive,183,38,6954,5.36,6581.2656,29.19,c31d5f,Industrial Buyer,Kolkata,Available,Cancelled,,Returned
d669fcde,2024-08-19,8,2024,Online,Fevicol MR,Adhesive,61,26,1586,0.7,1574.898,11.01,c75ffa,Retailer,Hyderabad,Available,Delivered,9.0,Not Returned
64c303c9,2023-11-19,11,2023,Online,Fevicol Marine,Industrial Glue,211,40,8440,0.35,8410.46,12.94,c7cac0,Retailer,Ahmedabad,Available,Delivered,3.0,Not Returned
8a835f1b,2024-11-14,11,2024,Retail Store,Fevicol MR,Adhesive,67,41,2747,1.15,2715.4095,27.56,85b141,Industrial Buyer,Delhi,Out of Stock,Delivered,7.0,Not Returned
1dbe2a1c,2024-05-05,5,2024,Distributor,Fevicol Marine,Industrial Glue,423,38,16074,14.29,13777.0254,26.83,212cf8,Retailer,Kolkata,Available,Cancelled,,Not Returned
b8daeab9,2024-06-21,6,2024,Distributor,Fevicol SH,Adhesive,182,46,8372,2.03,8202.0484,22.03,4caa28,Wholesaler,Ahmedabad,Available,Cancelled,,Returned
2c75a235,2023-12-22,12,2023,Retail Store,Fevicol Marine,Industrial Glue,400,19,7600,10.62,6792.88,10.98,41a937,Direct Consumer,Kolkata,Out of Stock,Pending,,Not Returned
c25522df,2024-11-07,11,2024,Retail Store,Fevicol FastGrip,Quick Adhesive,130,9,1170,11.67,1033.461,27.35,c3d84b,Industrial Buyer,Chennai,Out of Stock,Cancelled,,Not Returned
4e2739ff,2024-04-05,4,2024,Distributor,Fevicol Marine,Industrial Glue,196,50,9800,7.88,9027.76,17.54,c53ab7,Industrial Buyer,Delhi,Out of Stock,Cancelled,,Returned
8dea9be4,2023-10-31,10,2023,Online,Fevicol HeatX,Heat-Resistant,586,4,2344,2.43,2287.0408,19.22,7b8027,Direct Consumer,Mumbai,Out of Stock,Cancelled,,Returned
f153bcd0,2024-09-19,9,2024,Online,Fevicol FastGrip,Quick Adhesive,133,30,3990,9.44,3613.344,28.25,414601,Direct Consumer,Hyderabad,Out of Stock,Delivered,7.0,Returned
6ccdd5a5,2023-03-18,3,2023,Retail Store,Fevicol HeatX,Heat-Resistant,335,25,8375,4.45,8002.3125,12.23,ad5f72,Retailer,Delhi,Out of Stock,Cancelled,,Not Returned
b74a5b45,2024-01-22,1,2024,Retail Store,Fevicol MR,Adhesive,82,34,2788,7.01,2592.5612,24.54,7bd348,Retailer,Hyderabad,Out of Stock,Cancelled,,Not Returned
178ebba4,2023-08-18,8,2023,Retail Store,Fevicol MR,Adhesive,99,1,99,8.78,90.3078,23.73,d744ca,Retailer,Ahmedabad,Out of Stock,Cancelled,,Returned
3134d59a,2024-06-05,6,2024,Distributor,Fevicol MR,Adhesive,64,48,3072,12.78,2679.3984,28.54,5f69d1,Retailer,Bangalore,Out of Stock,Pending,,Not Returned
157caa0d,2023-04-24,4,2023,Online,Fevicol Marine,Industrial Glue,449,43,19307,10.38,17302.9334,21.87,175e1e,Wholesaler,Hyderabad,Available,Cancelled,,Returned
374264ab,2023-12-25,12,2023,Online,Fevicol MR,Adhesive,67,41,2747,4.02,2636.5706,23.72,759493,Industrial Buyer,Delhi,Available,Cancelled,,Not Returned
bed85852,2023-05-02,5,2023,Distributor,Fevicol MR,Adhesive,52,32,1664,11.33,1475.4688,22.64,a19c5b,Wholesaler,Delhi,Out of Stock,Delivered,9.0,Returned
2db2944e,2024-04-18,4,2024,Retail Store,Fevicol Marine,Industrial Glue,478,7,3346,4.61,3191.7494,21.39,d49378,Wholesaler,Kolkata,Available,Cancelled,,Returned
81b55576,2024-06-12,6,2024,Distributor,Fevicol HeatX,Heat-Resistant,312,41,12792,13.57,11056.1256,16.75,8c699d,Wholesaler,Chennai,Available,Delivered,7.0,Not Returned
724fd7e6,2024-09-09,9,2024,Online,Fevicol SH,Adhesive,131,27,3537,4.52,3377.1276,16.03,3fae6a,Retailer,Hyderabad,Out of Stock,Pending,,Not Returned
e06ed099,2023-06-19,6,2023,Online,Fevicol Marine,Industrial Glue,417,5,2085,4.27,1995.9705,28.14,90621a,Industrial Buyer,Delhi,Out of Stock,Cancelled,,Returned
d08c5ada,2023-02-25,2,2023,Retail Store,Fevicol SH,Adhesive,144,7,1008,5.91,948.4272,27.9,60ed2c,Direct Consumer,Kolkata,Out of Stock,Pending,,Returned
48eebdc6,2023-12-29,12,2023,Retail Store,Fevicol Marine,Industrial Glue,250,21,5250,0.54,5221.65,10.0,f41fc0,Direct Consumer,Bangalore,Available,Pending,,Returned
8354c4da,2023-04-07,4,2023,Distributor,Fevicol FastGrip,Quick Adhesive,100,5,500,14.18,429.1,29.75,431657,Industrial Buyer,Chennai,Out of Stock,Delivered,8.0,Not Returned
55d78fa9,2024-06-08,6,2024,Distributor,Fevicol MR,Adhesive,64,14,896,7.51,828.7103999999999,22.09,f6fff4,Direct Consumer,Bangalore,Out of Stock,Pending,,Not Returned
40a615ae,2024-12-19,12,2024,Distributor,Fevicol Marine,Industrial Glue,199,5,995,2.42,970.921,12.52,75ad56,Retailer,Mumbai,Available,Cancelled,,Returned
5969748b,2024-12-05,12,2024,Retail Store,Fevicol MR,Adhesive,88,41,3608,5.93,3394.0456,19.84,0967be,Retailer,Hyderabad,Out of Stock,Cancelled,,Not Returned
38ca4b0a,2024-05-02,5,2024,Online,Fevicol Marine,Industrial Glue,301,44,13244,14.34,11344.8104,13.04,7b6aab,Retailer,Hyderabad,Out of Stock,Pending,,Not Returned
557960cc,2024-11-30,11,2024,Distributor,Fevicol SH,Adhesive,153,50,7650,12.42,6699.87,23.55,188f1d,Industrial Buyer,Chennai,Out of Stock,Cancelled,,Returned
630a5c5c,2024-11-03,11,2024,Online,Fevicol MR,Adhesive,54,32,1728,12.75,1507.68,28.51,c8d9c1,Retailer,Delhi,Out of Stock,Delivered,3.0,Not Returned
7bdf8495,2023-06-30,6,2023,Retail Store,Fevicol MR,Adhesive,59,6,354,9.82,319.2372,28.48,a9cca1,Direct Consumer,Hyderabad,Out of Stock,Cancelled,,Returned
82c18213,2024-10-15,10,2024,Online,Fevicol HeatX,Heat-Resistant,575,24,13800,12.39,12090.18,16.73,a6b5b4,Retailer,Mumbai,Out of Stock,Pending,,Returned
16b2d231,2023-03-09,3,2023,Retail Store,Fevicol FastGrip,Quick Adhesive,115,32,3680,0.46,3663.072,10.66,4c1352,Industrial Buyer,Kolkata,Out of Stock,Pending,,Not Returned
c0e0752a,2024-04-20,4,2024,Distributor,Fevicol Marine,Industrial Glue,141,43,6063,14.5,5183.865,22.07,082f3c,Wholesaler,Bangalore,Available,Pending,,Returned
0b9aae87,2023-06-20,6,2023,Online,Fevicol Marine,Industrial Glue,486,24,11664,0.85,11564.856,13.58,2f288f,Direct Consumer,Chennai,Available,Cancelled,,Returned
d0ab6153,2023-07-17,7,2023,Retail Store,Fevicol SH,Adhesive,175,35,6125,7.99,5635.6125,27.5,3d4a82,Direct Consumer,Kolkata,Out of Stock,Pending,,Returned
9979a668,2024-03-22,3,2024,Distributor,Fevicol Marine,Industrial Glue,385,33,12705,2.81,12347.9895,19.28,a67158,Direct Consumer,Bangalore,Available,Cancelled,,Not Returned
40cf79b7,2023-03-20,3,2023,Online,Fevicol FastGrip,Quick Adhesive,95,12,1140,5.82,1073.652,17.37,466963,Wholesaler,Kolkata,Out of Stock,Cancelled,,Not Returned
b6545b52,2024-02-13,2,2024,Online,Fevicol MR,Adhesive,97,16,1552,9.72,1401.1456,25.96,50b05a,Direct Consumer,Ahmedabad,Available,Pending,,Returned
25df1db7,2023-07-31,7,2023,Online,Fevicol SH,Adhesive,129,5,645,2.01,632.0355,28.15,7cc759,Wholesaler,Kolkata,Available,Delivered,9.0,Not Returned
0e8e3088,2023-12-02,12,2023,Retail Store,Fevicol HeatX,Heat-Resistant,222,3,666,6.43,623.1762,17.07,b4b521,Retailer,Mumbai,Available,Pending,,Not Returned
ec4f3d70,2023-07-15,7,2023,Distributor,Fevicol HeatX,Heat-Resistant,278,50,13900,0.21,13870.81,19.89,3d4db4,Wholesaler,Delhi,Available,Delivered,8.0,Returned
94388e5c,2023-08-24,8,2023,Retail Store,Fevicol SH,Adhesive,183,23,4209,2.78,4091.9898,10.65,674f40,Industrial Buyer,Mumbai,Out of Stock,Pending,,Not Returned
2a0b94b3,2023-09-07,9,2023,Online,Fevicol FastGrip,Quick Adhesive,146,37,5402,10.8,4818.584,21.14,8a2108,Retailer,Chennai,Out of Stock,Delivered,10.0,Returned
2f21cdbd,2023-12-23,12,2023,Retail Store,Fevicol Marine,Industrial Glue,277,3,831,9.13,755.1297,24.54,eb684c,Direct Consumer,Kolkata,Available,Cancelled,,Not Returned
7c73f1ba,2023-11-15,11,2023,Retail Store,Fevicol Marine,Industrial Glue,309,25,7725,6.15,7249.9125,29.49,36b6a2,Industrial Buyer,Mumbai,Available,Pending,,Not Returned
8efbaf94,2023-09-24,9,2023,Online,Fevicol Marine,Industrial Glue,183,44,8052,6.52,7527.0096,10.25,6f070e,Retailer,Chennai,Out of Stock,Pending,,Not Returned
128cec8d,2023-04-23,4,2023,Retail Store,Fevicol MR,Adhesive,84,33,2772,0.94,2745.9432,25.97,bc40f4,Wholesaler,Delhi,Available,Delivered,1.0,Returned
0088c97d,2023-06-17,6,2023,Distributor,Fevicol Marine,Industrial Glue,360,18,6480,8.65,5919.48,12.4,500de4,Direct Consumer,Kolkata,Available,Cancelled,,Not Returned
931e019c,2024-10-26,10,2024,Distributor,Fevicol FastGrip,Quick Adhesive,110,19,2090,7.38,1935.758,21.31,79c6d7,Wholesaler,Chennai,Out of Stock,Pending,,Not Returned
a20dd135,2023-11-23,11,2023,Retail Store,Fevicol SH,Adhesive,102,36,3672,0.05,3670.164,19.58,3bb666,Direct Consumer,Bangalore,Out of Stock,Cancelled,,Returned
cf50cc0e,2023-11-02,11,2023,Distributor,Fevicol MR,Adhesive,79,39,3081,10.91,2744.8629,17.93,61ae2f,Industrial Buyer,Chennai,Out of Stock,Cancelled,,Returned
daf4979e,2023-02-11,2,2023,Online,Fevicol MR,Adhesive,71,42,2982,9.95,2685.291,20.6,6eb787,Wholesaler,Bangalore,Out of Stock,Pending,,Returned
ca6a2edd,2023-05-09,5,2023,Retail Store,Fevicol Marine,Industrial Glue,376,7,2632,12.78,2295.6304,20.75,5347d6,Retailer,Kolkata,Available,Delivered,1.0,Not Returned
be73ffdf,2024-02-29,2,2024,Distributor,Fevicol HeatX,Heat-Resistant,403,45,18135,5.66,17108.559,11.14,d6896f,Industrial Buyer,Ahmedabad,Available,Cancelled,,Not Returned
5f9bcc4b,2024-01-17,1,2024,Online,Fevicol Marine,Industrial Glue,473,44,20812,4.92,19788.0496,13.34,6f52de,Direct Consumer,Chennai,Out of Stock,Delivered,7.0,Returned
1e47f810,2024-08-01,8,2024,Online,Fevicol FastGrip,Quick Adhesive,83,41,3403,9.39,3083.4583,28.31,c958f6,Retailer,Delhi,Available,Delivered,8.0,Not Returned
c0d7078b,2023-08-27,8,2023,Distributor,Fevicol FastGrip,Quick Adhesive,127,18,2286,11.04,2033.6256,14.19,d92735,Direct Consumer,Bangalore,Out of Stock,Cancelled,,Not Returned
6fd6822f,2024-05-01,5,2024,Distributor,Fevicol Marine,Industrial Glue,322,39,12558,12.99,10926.7158,19.06,af60c9,Wholesaler,Bangalore,Out of Stock,Delivered,10.0,Returned
eb2934b2,2023-02-08,2,2023,Online,Fevicol FastGrip,Quick Adhesive,119,44,5236,14.76,4463.1664,20.29,f731e2,Wholesaler,Chennai,Out of Stock,Pending,,Not Returned
95e9b860,2023-12-04,12,2023,Retail Store,Fevicol SH,Adhesive,184,47,8648,2.92,8395.4784,13.53,48d955,Retailer,Bangalore,Out of Stock,Cancelled,,Not Returned
673db27c,2024-10-23,10,2024,Retail Store,Fevicol Marine,Industrial Glue,355,9,3195,9.17,2902.0185,25.59,ed8f56,Wholesaler,Delhi,Out of Stock,Delivered,10.0,Not Returned
98b9e49a,2024-03-01,3,2024,Retail Store,Fevicol Marine,Industrial Glue,274,44,12056,14.7,10283.768,28.03,e79ee7,Retailer,Hyderabad,Out of Stock,Delivered,5.0,Not Returned
a97d8aab,2023-06-01,6,2023,Retail Store,Fevicol MR,Adhesive,92,32,2944,8.1,2705.536,12.21,cb5e5b,Direct Consumer,Delhi,Available,Pending,,Returned
cb4614c0,2023-03-18,3,2023,Online,Fevicol MR,Adhesive,81,3,243,5.02,230.8014,10.88,fa2ffc,Retailer,Mumbai,Out of Stock,Cancelled,,Returned
d970c93b,2023-02-25,2,2023,Retail Store,Fevicol MR,Adhesive,89,1,89,0.42,88.6262,18.18,30a67b,Industrial Buyer,Kolkata,Available,Cancelled,,Returned
d79ce1f9,2023-05-25,5,2023,Retail Store,Fevicol Marine,Industrial Glue,288,7,2016,7.59,1862.9856,27.77,9fe225,Industrial Buyer,Bangalore,Out of Stock,Cancelled,,Returned
ec9730cb,2023-09-04,9,2023,Distributor,Fevicol Marine,Industrial Glue,248,44,10912,4.41,10430.7808,16.11,c1af66,Direct Consumer,Hyderabad,Out of Stock,Delivered,4.0,Not Returned
fffdd1da,2023-08-17,8,2023,Distributor,Fevicol HeatX,Heat-Resistant,346,39,13494,11.27,11973.226200000001,13.49,ee8e40,Direct Consumer,Mumbai,Out of Stock,Cancelled,,Not Returned
4d49d3f4,2024-05-23,5,2024,Online,Fevicol SH,Adhesive,103,2,206,1.97,201.9418,14.83,8b4178,Wholesaler,Kolkata,Available,Pending,,Not Returned
712549f1,2023-03-07,3,2023,Online,Fevicol MR,Adhesive,55,4,220,9.05,200.09,13.2,db9575,Direct Consumer,Delhi,Available,Delivered,2.0,Not Returned
bed983b6,2024-02-18,2,2024,Online,Fevicol MR,Adhesive,67,36,2412,12.74,2104.7111999999997,12.18,f9773a,Direct Consumer,Kolkata,Available,Delivered,9.0,Returned
d08232b1,2024-03-16,3,2024,Retail Store,Fevicol SH,Adhesive,92,11,1012,0.28,1009.1664,22.49,a2d34f,Wholesaler,Hyderabad,Available,Delivered,10.0,Returned
70fd2271,2024-05-18,5,2024,Retail Store,Fevicol HeatX,Heat-Resistant,263,25,6575,14.79,5602.5575,12.88,1f0a07,Direct Consumer,Mumbai,Out of Stock,Cancelled,,Returned
b5f7734b,2023-09-21,9,2023,Online,Fevicol Marine,Industrial Glue,296,41,12136,6.74,11318.0336,17.98,e751b3,Direct Consumer,Chennai,Available,Cancelled,,Not Returned
6cd5a849,2023-06-24,6,2023,Online,Fevicol SH,Adhesive,141,2,282,6.27,264.3186,21.85,4d2f80,Industrial Buyer,Kolkata,Available,Cancelled,,Not Returned
f9adda16,2023-07-01,7,2023,Retail Store,Fevicol SH,Adhesive,113,28,3164,12.17,2778.9412,10.43,a514ff,Retailer,Ahmedabad,Out of Stock,Delivered,10.0,Not Returned
6f03e8c7,2025-01-10,1,2025,Distributor,Fevicol MR,Adhesive,67,39,2613,3.2,2529.384,19.4,7846b1,Wholesaler,Bangalore,Out of Stock,Pending,,Not Returned
73bea861,2024-06-08,6,2024,Retail Store,Fevicol SH,Adhesive,172,35,6020,1.08,5954.984,29.43,88b1fc,Direct Consumer,Chennai,Out of Stock,Cancelled,,Not Returned
5e637547,2023-03-14,3,2023,Retail Store,Fevicol FastGrip,Quick Adhesive,81,44,3564,4.98,3386.5128,11.46,24dfa1,Industrial Buyer,Mumbai,Out of Stock,Pending,,Returned
753284ab,2024-06-12,6,2024,Distributor,Fevicol FastGrip,Quick Adhesive,141,17,2397,13.44,2074.8432000000003,13.63,9f5cc7,Retailer,Chennai,Out of Stock,Pending,,Not Returned
ced307f3,2023-04-03,4,2023,Distributor,Fevicol FastGrip,Quick Adhesive,120,49,5880,3.53,5672.436,14.23,982cc9,Industrial Buyer,Hyderabad,Out of Stock,Cancelled,,Returned
8dea0c4e,2023-10-07,10,2023,Retail Store,Fevicol FastGrip,Quick Adhesive,93,24,2232,6.44,2088.2592,20.57,d3b283,Direct Consumer,Kolkata,Out of Stock,Delivered,7.0,Not Returned
b956c413,2023-03-18,3,2023,Online,Fevicol SH,Adhesive,148,50,7400,2.08,7246.08,23.02,5b5511,Wholesaler,Delhi,Available,Delivered,7.0,Not Returned
5a837e96,2023-07-19,7,2023,Retail Store,Fevicol MR,Adhesive,54,4,216,6.5,201.96,27.06,14c1d1,Retailer,Hyderabad,Available,Cancelled,,Not Returned
841ff90f,2023-07-09,7,2023,Distributor,Fevicol SH,Adhesive,196,8,1568,0.71,1556.8672,17.93,996f36,Industrial Buyer,Ahmedabad,Available,Delivered,4.0,Returned
7ef4aafc,2024-09-22,9,2024,Retail Store,Fevicol Marine,Industrial Glue,444,19,8436,3.77,8117.9628,22.6,385573,Industrial Buyer,Chennai,Out of Stock,Cancelled,,Not Returned
bdda2388,2025-01-17,1,2025,Retail Store,Fevicol HeatX,Heat-Resistant,272,46,12512,2.35,12217.968,10.07,878f3d,Direct Consumer,Delhi,Out of Stock,Delivered,9.0,Not Returned
5ee4cc16,2024-04-07,4,2024,Retail Store,Fevicol MR,Adhesive,88,25,2200,7.87,2026.86,16.26,ec6633,Direct Consumer,Ahmedabad,Available,Pending,,Not Returned
b38ac25a,2023-04-09,4,2023,Online,Fevicol MR,Adhesive,96,38,3648,9.34,3307.2768,25.15,271046,Direct Consumer,Ahmedabad,Out of Stock,Pending,,Returned
a803dd70,2023-09-20,9,2023,Retail Store,Fevicol MR,Adhesive,72,34,2448,2.71,2381.6592,28.66,12b2d0,Retailer,Bangalore,Out of Stock,Cancelled,,Not Returned
c6394a2b,2023-05-14,5,2023,Distributor,Fevicol MR,Adhesive,83,15,1245,4.88,1184.244,11.95,e21403,Retailer,Delhi,Available,Cancelled,,Not Returned
4afb498a,2024-06-13,6,2024,Distributor,Fevicol HeatX,Heat-Resistant,515,16,8240,11.89,7260.264,28.87,f94454,Industrial Buyer,Ahmedabad,Available,Cancelled,,Not Returned
52696429,2024-08-08,8,2024,Online,Fevicol Marine,Industrial Glue,180,10,1800,7.85,1658.7,14.2,48684a,Direct Consumer,Ahmedabad,Available,Cancelled,,Not Returned
a2505081,2025-01-05,1,2025,Online,Fevicol MR,Adhesive,62,41,2542,6.58,2374.7364,18.23,482192,Industrial Buyer,Kolkata,Available,Delivered,4.0,Returned
1ffd790b,2025-02-05,2,2025,Online,Fevicol SH,Adhesive,88,21,1848,7.47,1709.9544,10.96,e9f837,Direct Consumer,Bangalore,Available,Cancelled,,Returned
b29149d8,2024-12-13,12,2024,Online,Fevicol MR,Adhesive,73,34,2482,10.1,2231.318,27.63,51c2e2,Retailer,Bangalore,Available,Cancelled,,Not Returned
